name,price,rating,reviews
"XIAOMI 17 (12GB/512GB)|50MP Leica Triple Camera|Snapdragon 8 Elite Gen 5|6.3"" CrystalRes 1-120Hz AMOLED|6330mAh Battery|100W HyperCharge HyperOS 3|3500nits Display (Black)",89999,No rating,50+ bought in past month
OPPO Find X8 Pro 5G Mediatek Dimensity 9400 16GB RAM 512GB Storage 6.7 inch QHD+ AMOLED Smartphone ColorOS - Black,96900,No rating,"₹96,900
M.R.P:
₹1,09,999 (12% off)"
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Black, 12GB RAM, 256GB Storage), 200MP Camera, 5000mAh Ultra Long Battery, QHD+ Dynamic AMOLED 2X, Galaxy AI, Knox Security, S Pen Included",99999,No rating,"₹99,999
M.R.P:
₹1,29,999 (23% off)"
"iQOO 15 (Apex 2026, 12GB RAM, 256GB Storage) |Fastest Snapdragon 8 Elite Gen 5 Processor* | Samsung 2K M14 Lead OLED Display | Origin OS 6 with Personalized AI Features",85999,No rating,"₹85,999
M.R.P:
₹92,999 (8% off)"
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 512GB Storage)",93999,No rating,"₹93,999
M.R.P:
₹1,61,999 (42% off)"
"Samsung Galaxy Z Flip7 5G Smartphone with Galaxy AI (Blue Shadow, 12GB RAM, 256GB Storage), Ultra Sleek Design with 50MP High-Resolution Camera, Exynos 2500, Google Gemini",95999,No rating,"₹95,999
M.R.P:
₹1,09,999 (13% off)"
"Oppo Find X9s 5G (Midnight Grey, 12GB, 512GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",94999,No rating,"₹94,999
M.R.P:
₹1,59,999 (41% off)"
"Samsung Galaxy S25 Edge 5G AI Smartphone (Titanium JetBlack, 12GB RAM, 512GB Storage) | Precision Built with Titanium | Ultra-Sleek and Premium with a 200 MP Camera | Snapdragon 8 Elite for Galaxy",79499,No rating,"₹79,499
M.R.P:
₹1,21,999 (35% off)"
OnePlus 15R | 16GB+512GB | Charcoal Black | World's First Snapdragon® 8 Gen 5 | 7400mAh Battery | Personalised AI | Game-Changing 165Hz Display | IP68 IP69 IP66 & IP69K | 4K 120fps Video,66999,No rating,500+ bought in past month
"Oppo Find X9s 5G (Midnight Grey, 12GB, 256GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",84999,No rating,50+ bought in past month
Google Pixel 11 5G (Hibiscus),84999,No rating,"12GB RAM, 256GB Storage"
"Oppo Reno16 5G (Starry White, 12GB, 256GB) | 3D Design | 50MP 3.5X Telephoto Camera | 4K 60fps HDR Video | AI Remix Collage | Snapdragon 7 Gen 4 | 6700mAh 80W SUPERVOOC | ColorOS 16 | IP69K",72999,No rating,"₹72,999
M.R.P:
₹99,999 (27% off)"
"Oppo Find X9s 5G (Midnight Grey, 12GB, 512GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",94999,No rating,"₹94,999
M.R.P:
₹1,59,999 (41% off)"
OnePlus 13s | Snapdragon® 8 Elite | Smarter with OnePlus AI | Lifetime Display Warranty | 12GB+512GB | Black Velvet,59999,No rating,100+ bought in past month
OnePlus 15 | 16GB+512GB | Sand Storm | India's First Snapdragon® 8 Elite Gen 5 | 7300mAh Battery | Personalised AI | Game-Changing 165Hz Display | Triple 50MP Camera with 4K 120fps Dolby Vision,93999,No rating,400+ bought in past month
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Silverblue, 12GB RAM, 256GB Storage), 200MP Camera, 5000mAh Ultra Long Battery, QHD+ Dynamic AMOLED 2X, Galaxy AI, Knox Security, S Pen Included",99999,No rating,50+ bought in past month
REDMI Turbo 5 (8GB + 256GB) Turbo White | MediaTek Dimensity 8500 Ultra | Mega 7540mAh Battery | 100W HyperCharge | Compact 16.75cm(6.9) 120Hz Display | 50MP Sony OIS Camera,41999,No rating,500+ bought in past month
"Lava Bold N4 Lite (Ghost Silver, 3GB RAM, 32GB Storage) | 6.56"" qHD Display | 8MP Rear Camera | 5000 mAh Battery | Free Service @ Home | Fingerprint Reader | Charger & Phone-Cover in Box",8399,No rating,"₹8,399
M.R.P:
₹9,999 (16% off)"
"vivo X300 FE 5G (Lilac Purple, 12GB RAM, 512GB Storage) with No Cost EMI/Additional Exchange Offers",99999,No rating,"₹99,999
M.R.P:
₹1,29,999 (23% off)"
"vivo X300 FE 5G (Lilac Purple, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",89999,No rating,50+ bought in past month
Motorola All-New A300-2026 Dual Sim keypad Phone | 2 Years Replacement | Type C Charging Port |Long Lasting Battery | Loud Sound | Wireless FM | (Purple Elite),1370,No rating,3K+ bought in past month
"Lava Bold N2 (Siachen White, 4 GB RAM, 64 GB Storage) | 13MP AI Dual Rear Camera | Largest 6.75"" HD+ Display | 5000 mAh Battery & 10W Charging | IP64 Water & Dust Proof | Charger & Phone-Case in Box",9999,No rating,2K+ bought in past month
"XIAOMI 17 (12GB/512GB)|50MP Leica Triple Camera|Snapdragon 8 Elite Gen 5|6.3"" CrystalRes 1-120Hz AMOLED|6330mAh Battery|100W HyperCharge HyperOS 3|3500nits Display (Black)",89999,No rating,50+ bought in past month
OPPO Find X8 Pro 5G Mediatek Dimensity 9400 16GB RAM 512GB Storage 6.7 inch QHD+ AMOLED Smartphone ColorOS - Black,96900,No rating,"₹96,900
M.R.P:
₹1,09,999 (12% off)"
"Samsung Galaxy S25 Ultra 5G AI Smartphone (Titanium Black, 12GB RAM, 256GB Storage), 200MP Camera, 5000mAh Ultra Long Battery, QHD+ Dynamic AMOLED 2X, Galaxy AI, Knox Security, S Pen Included",99999,No rating,"₹99,999
M.R.P:
₹1,29,999 (23% off)"
"iQOO 15 (Apex 2026, 12GB RAM, 256GB Storage) |Fastest Snapdragon 8 Elite Gen 5 Processor* | Samsung 2K M14 Lead OLED Display | Origin OS 6 with Personalized AI Features",85999,No rating,"₹85,999
M.R.P:
₹92,999 (8% off)"
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 512GB Storage)",93999,No rating,"₹93,999
M.R.P:
₹1,61,999 (42% off)"
"Samsung Galaxy Z Flip7 5G Smartphone with Galaxy AI (Blue Shadow, 12GB RAM, 256GB Storage), Ultra Sleek Design with 50MP High-Resolution Camera, Exynos 2500, Google Gemini",95999,No rating,"₹95,999
M.R.P:
₹1,09,999 (13% off)"
"Oppo Find X9s 5G (Midnight Grey, 12GB, 512GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",94999,No rating,"₹94,999
M.R.P:
₹1,59,999 (41% off)"
"Samsung Galaxy S25 Edge 5G AI Smartphone (Titanium JetBlack, 12GB RAM, 512GB Storage) | Precision Built with Titanium | Ultra-Sleek and Premium with a 200 MP Camera | Snapdragon 8 Elite for Galaxy",79499,No rating,"₹79,499
M.R.P:
₹1,21,999 (35% off)"
OnePlus 15R | 16GB+512GB | Charcoal Black | World's First Snapdragon® 8 Gen 5 | 7400mAh Battery | Personalised AI | Game-Changing 165Hz Display | IP68 IP69 IP66 & IP69K | 4K 120fps Video,66999,No rating,500+ bought in past month
"Oppo Find X9s 5G (Midnight Grey, 12GB, 256GB) | Hasselblad 50MP Triple Camera | 120× Super Zoom | MediaTek Dimensity 9500s | 7025mAh 80W SUPERVOOC | ColorOS 16",84999,No rating,50+ bought in past month
Google Pixel 11 5G (Hibiscus),84999,No rating,"12GB RAM, 256GB Storage"
"Oppo Reno16 5G (Starry White, 12GB, 256GB) | 3D Design | 50MP 3.5X Telephoto Camera | 4K 60fps HDR Video | AI Remix Collage | Snapdragon 7 Gen 4 | 6700mAh 80W SUPERVOOC | ColorOS 16 | IP69K",72999,No rating,"₹72,999
M.R.P:
₹99,999 (27% off)"
